Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.47564895792992623,5.551115123125783e-17,0.2953699250477268,0.0,1.4193340838566106,4.440892098500626e-16,1.0,0.0
3,0.3785512407981642,0.034149908529032526,0.22840321632244603,0.02103413303045781,1.5073829555743632,0.09878509380709767,0.6949706264668067,0.2981875332307354
4,0.34680740116675274,0.0020887311592512857,0.20774195615462998,0.001940475999848658,1.4789280967745737,0.012313585829312447,0.9669857301739321,0.1320996166155065
5,0.32426454380148767,0.0166926858366122,0.19358002204917737,0.008677124063791713,1.527543175111447,0.07345172387959717,0.6908634809729648,0.20114729783523982
6,0.3112783130204746,0.022321322427390253,0.18427508155663752,0.01329804258001229,1.4763092922301235,0.11123878418499253,0.6761515509681918,0.18615453349614094
7,0.2712092953772357,0.031506517044843925,0.15894339394844684,0.01809580734266819,1.5851463075154169,0.08614443609867213,0.6463261545136726,0.17189599555487095
8,0.24190671740591285,0.027140127116213515,0.14151224315341285,0.014764064920296001,1.6652468178457978,0.09073515233703859,0.7682302753230014,0.20119202117565907
9,0.22822928636963002,0.003924213898597483,0.13370872806386708,0.002755105179940578,1.6438422073511976,0.04104099825736471,0.8450355632528792,0.1340156235566387
10,0.2337844100704357,0.004138175243871635,0.13780120125703033,0.0037347045791094563,1.5766387774667634,0.03959591684113696,0.8876196409358057,0.11581364061189882
11,0.23442920328117553,0.003665944401325094,0.13931082149257903,0.002804368681980874,1.5116441877163365,0.024485197772167067,0.9258122645460973,0.07609155914596068
12,0.2373255269073219,0.007075841121958049,0.1409637197105316,0.004085418533628649,1.4230304492594765,0.024335919191870045,0.9619483859110047,0.05190862965467305
13,0.2472579424021793,0.006556529735932294,0.14644902284138303,0.004040184556390875,1.3268902189254634,0.015505985679113456,0.9481684204289405,0.04688415295402957
14,0.2541755349293658,5.551115123125783e-17,0.15030725220606334,2.7755575615628914e-17,1.243948348071681,3.1401849173675503e-16,1.0,0.0
