Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.47564895792992606,0.0,0.30257136181545163,1.1102230246251565e-16,1.4069937475540737,2.220446049250313e-16,1.0,0.0
3,0.37855124079816377,0.034149908529032574,0.21179518319502455,0.02448793710270478,1.5145750620548248,0.10409859571845133,0.6949706264668067,0.2981875332307354
4,0.3468074011667522,0.0020887311592513048,0.1906363562412421,0.0017024892269517985,1.5068546674284888,0.013646666828627764,0.9669857301739321,0.1320996166155065
5,0.3242645438014871,0.016692685836612212,0.17787302625848184,0.00866962855861627,1.543214374117904,0.0659613783040082,0.6908634809729648,0.20114729783523982
6,0.31127831302047404,0.022321322427390326,0.16982329561664147,0.010260863915066247,1.4919208632332703,0.09655089607486864,0.6761515509681918,0.18615453349614094
7,0.27120929537723526,0.031506517044843925,0.1532886646512299,0.015971746923721934,1.5740795564971626,0.1098170938448541,0.6463261545136726,0.17189599555487095
8,0.2419067174059124,0.027140127116213525,0.13975465777162518,0.01289188379547033,1.6674926221681203,0.10265496450706742,0.7682302753230014,0.20119202117565907
9,0.22822928636962952,0.003924213898597477,0.13058558178777524,0.001970103141356692,1.6497636406572442,0.04338267162083485,0.8450355632528792,0.1340156235566387
10,0.23378441007043504,0.004138175243871635,0.1314321372993379,0.0038139970918188563,1.5844409670402764,0.0398170946804146,0.8876196409358057,0.11581364061189882
11,0.23442920328117495,0.003665944401325076,0.13154509133088063,0.0045528207581393525,1.5258961673526383,0.028909642201554942,0.9258122645460973,0.07609155914596068
12,0.23732552690732128,0.007075841121958024,0.13612249778875918,0.0037317762124097357,1.4307792728596085,0.026758866591883534,0.9619483859110047,0.05190862965467305
13,0.2472579424021787,0.006556529735932256,0.14117738794100823,0.003772458292560788,1.3346708883963867,0.017756457948640822,0.9481684204289405,0.04688415295402957
14,0.25417553492936523,1.1102230246251565e-16,0.1444304316702369,2.7755575615628914e-17,1.249469150879269,2.1413206232596584e-16,1.0,0.0
