Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4809522886747494,5.551115123125783e-17,0.2990427812688016,1.1102230246251565e-16,1.4643794688528196,4.440892098500626e-16,1.0,0.0
3,0.32292766438320697,0.04011208746812125,0.1909610561980125,0.023433997930644684,1.7475676140345582,0.15317029314862843,0.6192114585278179,0.29893953304188764
4,0.3023659419542074,5.551115123125783e-17,0.17682293803625415,2.7755575615628914e-17,1.6588735280219202,4.440892098500626e-16,1.0,0.0
5,0.28454014080031376,0.02327312837189156,0.167337805137586,0.0108860142141591,1.603088994081063,0.13391065665073984,0.7446768313257045,0.19032917425250367
6,0.2749353916704215,0.013928150694585159,0.16243115012875906,0.00778978722998979,1.5699231389399606,0.06136922406614912,0.7734826605517308,0.18919101846409095
7,0.24195746465745277,0.014748696913164716,0.14181044603956874,0.008691446447954282,1.6272070768452755,0.06818227988516677,0.6803264444546175,0.18811163767078756
8,0.2238148540507975,0.029302505631933387,0.13129464675189484,0.017415100695575052,1.6147181864146203,0.11121055869912803,0.6583531386200312,0.1836327083760714
9,0.21193889907130017,0.027263195495370405,0.12414841145030465,0.016220029897391252,1.6400984069258255,0.11069478166298799,0.708424240488572,0.17332532307308357
10,0.2100898154710212,0.025521626046348823,0.12245977715822137,0.015221159499139797,1.574579541465608,0.10650464980788855,0.7070965968755906,0.15555672457792477
11,0.20971082958717413,0.019749477012781,0.12188033916232914,0.011617149848324652,1.504135005924939,0.07337962710771634,0.7286913251973518,0.14497440313988652
12,0.21417777309250968,0.01777032016751531,0.12410251817044252,0.010126740294263765,1.446134048116162,0.05372075249687538,0.7646457016218884,0.12720864110689695
13,0.2239250981630931,0.016955551428712412,0.12965732287057424,0.009235367849805802,1.370286691035639,0.04694370779647036,0.7965691480182959,0.12883241556627603
14,0.22884727981588757,0.014415685346388903,0.13236902455137448,0.008147861837991282,1.2981870059333283,0.03872852297975067,0.8413778011769796,0.11530985828421976
