Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4969459242069714,1.1102230246251565e-16,0.3209203541328404,0.0,1.1644529258954481,0.0,1.0,0.0
3,0.3235436541124351,5.551115123125783e-17,0.19609085344682115,5.551115123125783e-17,1.671567258584449,2.220446049250313e-16,1.0,0.0
4,0.37023931660566356,5.551115123125783e-17,0.21341124405692768,2.7755575615628914e-17,1.3708854089215847,2.220446049250313e-16,1.0,0.0
5,0.32666876395076544,5.551115123125783e-17,0.1917969846208118,0.0,1.5550405136696852,2.0350724194510405e-16,1.0,0.0
6,0.29515720314256483,0.00014809217972758094,0.16767865172887206,0.00023464624217427714,1.7070636526351828,0.005392452960527052,0.9982537989132538,0.012223407607223598
7,0.26843045304217694,0.011952066488873167,0.15320637679916205,0.0027853811416308446,1.6368985936990388,0.017858299520303517,0.8438058066478246,0.15646939878663094
8,0.26735295261797726,0.004887232148644972,0.1699153243109317,0.0009715608160729846,1.5037584247672953,0.03269378611473302,0.9167805429507675,0.08588813124864687
9,0.2524842233940976,0.004330831281321534,0.15531918634279276,0.00254304426741821,1.5495433314813456,0.027421236494173235,0.897341426107725,0.0656918771431094
10,0.2749883418197405,0.0019921327709142476,0.16191196884896203,0.0015741767809450684,1.4870050161004722,0.005194364212316696,0.978905452042374,0.022576270465242097
11,0.23939130064667274,0.004104975479997376,0.14834061480209473,0.003662225574228956,1.4814580769765475,0.016346987419659408,0.919749650650898,0.04449626767909235
12,0.2440512021376556,0.003571249965635649,0.14617566765013254,0.0036905584986506113,1.5069738413454856,0.02012919472304975,0.9200629895892659,0.03870402130497482
13,0.24274646853001308,0.010781149178586882,0.1444457894185178,0.005131295933184706,1.468605177078545,0.029844786962035158,0.8589622209947831,0.06151136929242309
14,0.2460367379091576,0.015522763759541605,0.1539253367266565,0.009477223687565888,1.4331414667400484,0.035476066526838934,0.8249512061775631,0.07308356086632901
