Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5033358443563422,0.0,0.3668247734638348,5.551115123125783e-17,1.0896434152661356,0.0,1.0,0.0
3,0.30418291550983717,0.0007726459109352867,0.1824461990138193,0.00039756747095824054,1.6866944810068258,0.0008382479029787918,0.9991215573378555,0.0061490986350125
4,0.36298277820215524,1.1102230246251565e-16,0.20702721102782856,0.0,1.376154829124159,6.661338147750939e-16,1.0,0.0
5,0.31645361491910434,0.0,0.171690283652198,0.0,1.6051386115665311,4.440892098500626e-16,1.0,0.0
6,0.3393999201804436,0.0061929943834584155,0.1843110810506485,0.003992193576867022,1.4579906634616229,0.025869765270726652,0.9667913687406869,0.02513709133952417
7,0.3118337239768354,0.006046636254934115,0.16228445745130152,0.0031909747566690717,1.4501231148305471,0.023190603521816802,0.9678333519711859,0.027726534865770428
8,0.2618882725407442,0.0033637688946752684,0.14317421607293593,0.0019158193961120598,1.6581368745415883,0.03136510524127379,0.9061896930623304,0.046676287040818575
9,0.27425386417292336,0.006752653038434398,0.15458962608482799,0.002996837907822011,1.5343018254435796,0.014743912440377352,0.9415723041399862,0.06855345295054319
10,0.28153979587074385,0.022987334345610486,0.15637148129754108,0.008424314017411238,1.5235341718467326,0.04689529031106321,0.8907704247182879,0.10307372461981465
11,0.21960992430169057,0.014203736098021945,0.1267419164781135,0.009433720240462205,1.5762471673121028,0.0797511318978095,0.848496535685843,0.0682134851352953
12,0.21397920940101156,0.004302097341619022,0.12553348846505977,0.0019205521594341602,1.5789678722603477,0.019569622123809575,0.9063946137326525,0.047082488107176815
13,0.2181117718437942,0.006396785219672374,0.12277833161147633,0.0033403215442739847,1.5516465543770042,0.02032268444572142,0.8966330620218794,0.05035430179045667
14,0.22356912111322377,0.008241395554434263,0.12394080037897695,0.003989406997338239,1.5190341178594016,0.027859354507907906,0.8775937683870757,0.05456124843408936
