k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.525,0.375,1.0,Share of Total,cosine,10
2,0.525,0.375,1.0,Share of Total,cosine,11
2,0.525,0.375,1.0,Share of Total,cosine,12
2,0.525,0.375,1.0,Share of Total,cosine,13
2,0.525,0.375,1.0,Share of Total,cosine,14
2,0.525,0.34,1.0,Share of Top 30 (L1 Norm),cosine,10
2,0.525,0.34,1.0,Share of Top 30 (L1 Norm),cosine,11
2,0.525,0.34,1.0,Share of Top 30 (L1 Norm),cosine,12
2,0.525,0.34,1.0,Share of Top 30 (L1 Norm),cosine,13
2,0.525,0.34,1.0,Share of Top 30 (L1 Norm),cosine,14
2,0.513,0.361,1.0,Share of Total,cosine,15
2,0.513,0.33,1.0,Share of Top 30 (L1 Norm),cosine,15
2,0.512,0.345,1.0,Share of Total,cosine,17
2,0.512,0.345,0.994,Share of Total,cosine,16
2,0.512,0.328,1.0,Share of Top 30 (L1 Norm),cosine,17
2,0.512,0.328,0.994,Share of Top 30 (L1 Norm),cosine,16
2,0.503,0.367,1.0,Share of Total,cosine,6
2,0.503,0.367,1.0,Share of Total,cosine,7
2,0.503,0.33,1.0,Share of Top 30 (L1 Norm),cosine,6
2,0.503,0.33,1.0,Share of Top 30 (L1 Norm),cosine,7
2,0.497,0.357,1.0,Share of Total,cosine,5
2,0.497,0.357,1.0,Share of Total,cosine,8
2,0.497,0.357,1.0,Share of Total,cosine,9
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),cosine,5
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),cosine,8
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),cosine,9
2,0.495,0.327,1.0,Share of Total,cosine,18
2,0.495,0.312,1.0,Share of Top 30 (L1 Norm),cosine,18
2,0.49,0.32,0.999,Share of Total,cosine,19
2,0.49,0.309,0.999,Share of Top 30 (L1 Norm),cosine,19
2,0.476,0.303,1.0,Share of Total,cosine,20
2,0.476,0.295,1.0,Share of Top 30 (L1 Norm),cosine,20
3,0.393,0.231,1.0,Share of Top 30 (L1 Norm),cosine,10
3,0.393,0.231,1.0,Share of Top 30 (L1 Norm),cosine,11
3,0.393,0.231,1.0,Share of Top 30 (L1 Norm),cosine,12
3,0.393,0.226,1.0,Share of Total,cosine,10
3,0.393,0.226,1.0,Share of Total,cosine,11
3,0.393,0.226,1.0,Share of Total,cosine,12
3,0.39,0.227,1.0,Share of Top 30 (L1 Norm),cosine,15
3,0.39,0.227,1.0,Share of Top 30 (L1 Norm),cosine,16
3,0.39,0.227,1.0,Share of Top 30 (L1 Norm),cosine,19
3,0.39,0.227,0.999,Share of Top 30 (L1 Norm),cosine,17
3,0.39,0.222,1.0,Share of Total,cosine,15
3,0.39,0.222,1.0,Share of Total,cosine,16
3,0.39,0.222,1.0,Share of Total,cosine,19
3,0.39,0.222,0.999,Share of Total,cosine,17
3,0.389,0.227,0.995,Share of Top 30 (L1 Norm),cosine,18
