k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.525,0.375,1.0,Share of Total,nearest_neighbors,10
2,0.525,0.375,1.0,Share of Total,nearest_neighbors,9
2,0.503,0.367,1.0,Share of Total,nearest_neighbors,5
2,0.503,0.367,1.0,Share of Total,nearest_neighbors,6
2,0.503,0.367,1.0,Share of Total,nearest_neighbors,7
2,0.497,0.357,1.0,Share of Total,nearest_neighbors,4
2,0.497,0.357,1.0,Share of Total,nearest_neighbors,8
2,0.525,0.336,1.0,L2 Normalization,nearest_neighbors,10
2,0.503,0.33,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,6
2,0.503,0.327,1.0,L2 Normalization,nearest_neighbors,4
2,0.503,0.327,1.0,L2 Normalization,nearest_neighbors,6
2,0.503,0.327,1.0,L2 Normalization,nearest_neighbors,7
2,0.497,0.321,1.0,L2 Normalization,nearest_neighbors,5
2,0.497,0.321,1.0,L2 Normalization,nearest_neighbors,8
2,0.497,0.321,1.0,L2 Normalization,nearest_neighbors,9
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,10
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,4
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,5
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,8
2,0.497,0.321,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
2,0.474,0.299,1.0,TF-IDF,nearest_neighbors,4
2,0.474,0.299,1.0,TF-IDF,nearest_neighbors,6
2,0.474,0.299,1.0,TF-IDF,nearest_neighbors,7
2,0.474,0.299,1.0,TF-IDF,nearest_neighbors,8
2,0.474,0.299,1.0,TF-IDF,nearest_neighbors,9
2,0.466,0.292,1.0,TF-IDF,nearest_neighbors,10
2,0.466,0.292,1.0,TF-IDF,nearest_neighbors,5
3,0.393,0.238,1.0,L2 Normalization,nearest_neighbors,10
3,0.385,0.234,1.0,L2 Normalization,nearest_neighbors,6
3,0.394,0.233,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,5
3,0.393,0.231,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,10
3,0.393,0.226,1.0,Share of Total,nearest_neighbors,10
3,0.373,0.226,1.0,L2 Normalization,nearest_neighbors,7
3,0.371,0.226,0.986,L2 Normalization,nearest_neighbors,9
3,0.373,0.221,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,4
3,0.374,0.216,1.0,Share of Total,nearest_neighbors,8
3,0.342,0.212,0.996,L2 Normalization,nearest_neighbors,4
3,0.354,0.21,1.0,TF-IDF,nearest_neighbors,8
3,0.324,0.206,1.0,L2 Normalization,nearest_neighbors,8
3,0.345,0.204,1.0,TF-IDF,nearest_neighbors,10
3,0.342,0.202,0.997,TF-IDF,nearest_neighbors,7
3,0.331,0.198,1.0,Share of Total,nearest_neighbors,4
3,0.335,0.197,1.0,TF-IDF,nearest_neighbors,6
3,0.333,0.197,0.978,TF-IDF,nearest_neighbors,9
3,0.326,0.197,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,6
3,0.324,0.196,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
3,0.324,0.196,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,8
3,0.324,0.196,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
3,0.324,0.194,1.0,Share of Total,nearest_neighbors,9
3,0.313,0.188,1.0,Share of Total,nearest_neighbors,7
3,0.309,0.187,1.0,Share of Total,nearest_neighbors,5
3,0.304,0.182,0.999,Share of Total,nearest_neighbors,6
3,0.259,0.171,1.0,L2 Normalization,nearest_neighbors,5
3,0.272,0.167,1.0,TF-IDF,nearest_neighbors,5
3,0.267,0.166,1.0,TF-IDF,nearest_neighbors,4
4,0.375,0.23,1.0,L2 Normalization,nearest_neighbors,8
4,0.373,0.23,1.0,L2 Normalization,nearest_neighbors,10
4,0.373,0.23,1.0,L2 Normalization,nearest_neighbors,7
4,0.37,0.228,1.0,L2 Normalization,nearest_neighbors,9
4,0.366,0.226,1.0,L2 Normalization,nearest_neighbors,6
4,0.379,0.218,0.999,Share of Top 30 (L1 Norm),nearest_neighbors,6
4,0.38,0.215,1.0,Share of Total,nearest_neighbors,10
4,0.38,0.215,1.0,Share of Total,nearest_neighbors,8
4,0.374,0.215,0.967,Share of Top 30 (L1 Norm),nearest_neighbors,5
4,0.373,0.214,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,10
4,0.373,0.214,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,8
4,0.373,0.214,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
4,0.373,0.213,1.0,Share of Total,nearest_neighbors,9
4,0.37,0.213,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
4,0.363,0.207,1.0,Share of Total,nearest_neighbors,6
4,0.358,0.206,1.0,Share of Total,nearest_neighbors,5
4,0.356,0.205,0.977,Share of Total,nearest_neighbors,7
4,0.325,0.204,1.0,L2 Normalization,nearest_neighbors,5
4,0.32,0.202,0.995,L2 Normalization,nearest_neighbors,4
4,0.324,0.194,1.0,TF-IDF,nearest_neighbors,8
4,0.335,0.193,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,4
4,0.323,0.193,1.0,TF-IDF,nearest_neighbors,7
4,0.315,0.189,0.998,TF-IDF,nearest_neighbors,6
4,0.308,0.184,1.0,TF-IDF,nearest_neighbors,9
4,0.304,0.181,1.0,TF-IDF,nearest_neighbors,10
4,0.305,0.173,0.993,Share of Total,nearest_neighbors,4
4,0.277,0.17,1.0,TF-IDF,nearest_neighbors,5
4,0.281,0.169,0.976,TF-IDF,nearest_neighbors,4
5,0.337,0.204,0.998,L2 Normalization,nearest_neighbors,8
5,0.33,0.2,1.0,L2 Normalization,nearest_neighbors,9
5,0.334,0.192,0.999,Share of Top 30 (L1 Norm),nearest_neighbors,8
5,0.327,0.192,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
5,0.317,0.192,1.0,L2 Normalization,nearest_neighbors,6
5,0.308,0.191,1.0,L2 Normalization,nearest_neighbors,5
5,0.312,0.187,0.995,Share of Top 30 (L1 Norm),nearest_neighbors,5
5,0.305,0.186,1.0,L2 Normalization,nearest_neighbors,4
5,0.304,0.185,0.999,L2 Normalization,nearest_neighbors,10
5,0.302,0.185,0.989,L2 Normalization,nearest_neighbors,7
5,0.317,0.183,0.999,Share of Top 30 (L1 Norm),nearest_neighbors,10
5,0.319,0.178,0.998,Share of Top 30 (L1 Norm),nearest_neighbors,6
5,0.315,0.176,0.992,Share of Top 30 (L1 Norm),nearest_neighbors,9
5,0.32,0.175,1.0,Share of Total,nearest_neighbors,8
5,0.316,0.172,1.0,Share of Total,nearest_neighbors,6
5,0.313,0.171,0.992,Share of Total,nearest_neighbors,7
5,0.315,0.17,0.999,Share of Total,nearest_neighbors,9
5,0.314,0.169,0.997,Share of Total,nearest_neighbors,5
5,0.313,0.168,1.0,Share of Total,nearest_neighbors,10
5,0.274,0.166,0.958,TF-IDF,nearest_neighbors,6
5,0.273,0.163,0.985,TF-IDF,nearest_neighbors,7
5,0.271,0.162,1.0,TF-IDF,nearest_neighbors,5
5,0.271,0.161,0.999,Share of Top 30 (L1 Norm),nearest_neighbors,4
5,0.268,0.161,1.0,TF-IDF,nearest_neighbors,9
5,0.265,0.159,0.999,TF-IDF,nearest_neighbors,10
5,0.29,0.156,1.0,Share of Total,nearest_neighbors,4
5,0.259,0.156,0.999,TF-IDF,nearest_neighbors,8
5,0.246,0.152,0.986,TF-IDF,nearest_neighbors,4
6,0.351,0.211,0.982,L2 Normalization,nearest_neighbors,5
6,0.33,0.197,0.99,L2 Normalization,nearest_neighbors,6
6,0.322,0.195,0.983,L2 Normalization,nearest_neighbors,7
6,0.321,0.194,0.994,L2 Normalization,nearest_neighbors,4
6,0.347,0.19,1.0,Share of Total,nearest_neighbors,8
6,0.338,0.189,0.989,Share of Top 30 (L1 Norm),nearest_neighbors,10
6,0.341,0.185,0.954,Share of Total,nearest_neighbors,7
6,0.339,0.184,0.967,Share of Total,nearest_neighbors,6
6,0.3,0.181,0.985,L2 Normalization,nearest_neighbors,10
6,0.302,0.178,0.994,TF-IDF,nearest_neighbors,6
6,0.294,0.176,0.984,L2 Normalization,nearest_neighbors,8
6,0.293,0.176,1.0,L2 Normalization,nearest_neighbors,9
6,0.296,0.174,0.904,Share of Top 30 (L1 Norm),nearest_neighbors,8
6,0.294,0.173,0.994,TF-IDF,nearest_neighbors,7
6,0.291,0.172,0.953,TF-IDF,nearest_neighbors,8
6,0.289,0.171,0.954,TF-IDF,nearest_neighbors,10
6,0.292,0.169,0.966,Share of Top 30 (L1 Norm),nearest_neighbors,9
6,0.295,0.168,0.998,Share of Top 30 (L1 Norm),nearest_neighbors,7
6,0.31,0.167,0.973,Share of Total,nearest_neighbors,9
