year,province,male,female
2018,Adana,18035,17352
2018,Adıyaman,6472,6094
2018,Afyonkarahisar,5192,4883
2018,Aksaray,3433,3281
2018,Amasya,1922,1742
2018,Ankara,37428,35842
2018,Antalya,16595,15873
2018,Ardahan,662,657
2018,Artvin,938,905
2018,Aydın,6920,6505
2018,Ağrı,6987,6768
2018,Balıkesir,6489,6120
2018,Bartın,1000,965
2018,Batman,7144,6882
2018,Bayburt,548,557
2018,Bilecik,1353,1275
2018,Bingöl,2825,2712
2018,Bitlis,4322,4107
2018,Bolu,1786,1590
2018,Burdur,1443,1307
2018,Bursa,21687,20702
2018,Denizli,6550,6303
2018,Diyarbakır,21543,20241
2018,Düzce,2694,2503
2018,Edirne,1997,1913
2018,Elazığ,4319,4065
2018,Erzincan,1460,1411
2018,Erzurum,6951,6617
2018,Eskişehir,5019,4783
2018,Gaziantep,23365,22023
2018,Giresun,2307,2141
2018,Gümüşhane,924,771
2018,Hakkari,2837,2677
2018,Hatay,14791,14029
2018,Isparta,2530,2428
2018,Iğdır,2021,2035
2018,Kahramanmaraş,10216,9880
2018,Karabük,1263,1196
2018,Karaman,1852,1715
2018,Kars,2696,2562
2018,Kastamonu,1962,1797
2018,Kayseri,10634,10143
2018,Kilis,1532,1412
2018,Kocaeli,15773,15032
2018,Konya,17700,16897
2018,Kütahya,3160,2933
2018,Kırklareli,1852,1730
2018,Kırıkkale,1621,1570
2018,Kırşehir,1495,1426
2018,Malatya,5855,5349
2018,Manisa,9435,9035
2018,Mardin,10608,10037
2018,Mersin,13786,12965
2018,Muğla,5638,5220
2018,Muş,5436,5085
2018,Nevşehir,2025,1883
2018,Niğde,2681,2610
2018,Ordu,4427,4212
2018,Osmaniye,4400,4151
2018,Rize,2135,2021
2018,Sakarya,7590,7190
2018,Samsun,8503,8119
2018,Siirt,4145,3961
2018,Sinop,1119,1064
2018,Sivas,4260,4025
2018,Tekirdağ,7633,7338
2018,Tokat,3497,3305
2018,Trabzon,5191,5052
2018,Tunceli,544,456
2018,Uşak,2237,2024
2018,Van,13971,13344
2018,Yalova,1674,1546
2018,Yozgat,2825,2657
2018,Zonguldak,2986,2850
2018,Çanakkale,2806,2729
2018,Çankırı,1180,1085
2018,Çorum,3203,2961
2018,İstanbul,114836,108387
2018,İzmir,26399,25218
2018,Şanlıurfa,32682,30786
2018,Şırnak,7250,6852
2019,Adana,17157,16209
2019,Adıyaman,5985,5933
2019,Afyonkarahisar,5059,4734
2019,Aksaray,3237,3124
2019,Amasya,1788,1730
2019,Ankara,35218,33466
2019,Antalya,15874,14891
2019,Ardahan,676,617
2019,Artvin,941,858
2019,Aydın,6482,6196
2019,Ağrı,6886,6580
2019,Balıkesir,6071,5837
2019,Bartın,956,927
2019,Batman,6864,6562
2019,Bayburt,545,498
2019,Bilecik,1246,1280
2019,Bingöl,2740,2599
2019,Bitlis,4211,3954
2019,Bolu,1711,1558
2019,Burdur,1325,1346
2019,Bursa,20601,19368
2019,Denizli,6154,5891
2019,Diyarbakır,20283,19588
2019,Düzce,2591,2492
2019,Edirne,1911,1728
